village,signatureAbilities,avatarSrc,description,name
Leaf Village,Kikaichuu no Jutsu,https://narutoql.s3.amazonaws.com/Aburame.jpg,This clan from Konoha Village is known for its ties to insect. At birth clan members form an agreement with bugs to inhabit and feed on the chakra their body creates. In return the bugs will serve the commands of the clan member.,Aburame Clan
Leaf Village,Baika no Jutsu,https://narutoql.s3.amazonaws.com/AkimichiClan.gif,"This clan from Konoha Village is known for its ability to modify the size of its body, increasing their mass to a large spherical ball. In this form it is difficult for the clan user to take physical damage. The Akimichi clan have worked along side the Nara and Yamanaka clans for many generations. With each new generation, the clan member swears an oath to defend the honor of the previous generation and also raise a new generation to look after the village.",Akimichi Clan
Rain Village,,https://narutoql.s3.amazonaws.com/FuumaClan.jpg,"The Fuuma were a well known clan around the Rain Country. After Jiraiya started his world travels, he battled a ninja from this clan. Later, Jiraiya would hear rumors that Pain, the leader of Akatsuki, was from this clan.",Fuuma Clan
Mist Village,Suika no Jutsu,https://narutoql.s3.amazonaws.com/Mangetsu.jpg,"This clan from Kiri Village is known for its ability to liquefy their body. Mangetsu and his younger brother Suigetsu were skilled swordsmen who formed ties to the Seven Swordsmen of the Mist. Through the usage of their Suika no Jutsu, clan members could turn their body into water. This process dried them out and necessitated them constantly drinking water to stay hydrated.",Houzuki Clan
Leaf Village,Byakugan,https://narutoql.s3.amazonaws.com/Hyuuga.jpg,"This clan from Konoha Village is known for its ability to visualize the chakra pathways, or tenketsu, of their opponent. Using this technique in conjunction with taijutsu techniques, they can forceably close their opponents chakra points so the victim can no longer use their chakra.",Hyuuga Clan
Leaf Village,Shikyaku no Jutsu,https://narutoql.s3.amazonaws.com/Akamaru.jpg,This clan from Konoha Village is known for its ties to the canine species. Many members have a canine familiar who acts as a partner to the clan member. Also clan members can use jutsu to take on canine-like abilities.,Inuzuka Clan
Mist Village,Shikotsu Myaku,https://narutoql.s3.amazonaws.com/KimimaroBloodline.jpg,"The Kaguya clan hailed from Hidden Mist and they were known for their love of battle. They foolishly decided to challenge their home country and they were all wiped out save for Kimimaro. This clan has the ability to manipulate their bone structure, this ability is called Shikotsu Myaku (Corpse Bone Pathways). They can remove their bones at will to create weapons as strong as steel and also use their abilty to spurn the creation of new bones.",Kaguya Clan
Rock Village,Bee Manipulation,https://narutoql.s3.amazonaws.com/Kamizuru.jpg,"Years previously the Kamizuru Clan was a prominent clan in Hidden Rock. They took the forefront leading an attack against Konoha. They were met by the Aburame clan and stopped before they could enter Konoha. Thousands died in the battle, and the clan fell on hard times. Years later Jibachi, Kurobachi and Suzumebachi would travel to the Bikouchuu birthing grounds to locate the legendary tracking bug in the hope it would help restore their name.
Click For Quick-Spoilers:The three clan members hoped to use the Bikouchuu to locate a forbidden scroll containing secret bug usage jutsu. They believed this would allow them to user higher level jutsu and do higher difficulty missions. As a result, they would gain prominence and return good favor to their clan.",Kamizuru Clan
Leaf Village,Kao Utsushi,https://narutoql.s3.amazonaws.com/UtsushiB.jpg,The Kedouin were a small clan known for their ability to take on the appearance of others. The copy is said to be so good that even family members of the target can not tell they are a fake.,Kedouin Clan
Leaf Village,,https://narutoql.s3.amazonaws.com/Kohaku.gif,The Kohaku were a small clan based in a below ground level compound near the border of the Fire Country. All the members of the clan were wiped out by Furido and his men and then later resurrected as mindless zombies.,Kohaku Clan
Leaf Village,Genjutsu,https://narutoql.s3.amazonaws.com/StringBeanA.jpg,"The Kurama were one of the elder clans of Konoha, known for their high skills in Genjutsu. Over the years less and less clan members were able to pass the Chuunin Exams, and the hopes for the clan's future were placed in the young Kurama heir Yakumo.",Kurama Clan
Leaf Village,"Kagemane no Jutsu, Kage Kubi Shibari no Jutsu",https://narutoql.s3.amazonaws.com/NaraClan.gif,"This clan from Konoha Village is known for its ability to manipulate their shadow. Utilizing this ability the clan member can attach their shadow to the shadow of another individual, and then take control of the user. Resulting in the affected person replicating or ""shadowing"" the exact movements in mirror form of the clan member. The Nara clan have worked along side the Akimichi and Yamanaka clans for many generations. With each new generation, the clan member swears an oath to defend the honor of the previous generation and also raise a new generation to look after the village.",Nara Clan
Sound Village,Souma no Kou,https://narutoql.s3.amazonaws.com/SakonLevel2.jpg,"Members of the ""Four"" Sounds, Sakon and Ukon have the ability to manipulate and alter the molecules of their body, this ability is called Souma no Kou (Attack of an Evil Spirit Pair). This grants the brothers the ability to alter their physical characteristics.
Click For Quick-Spoilers:The incarnation of Sakon that first appears in the series is actually a combination of the two brothers, Sakon and Ukon. Together Ukon shares the body of Sakon, at any point Ukon can split off his brother and become his own individual. When Ukon goes into his level 2 cursed seal form, he can manipulate his body down to the molecular level and insert himself into an opponent. He uses this cell form as an assassination technique to kill the person from within their own body. Though not confirmed, it appears Sakon may be able to do this in his level 2 form as well.",Sakon And Ukon
Leaf Village,,https://narutoql.s3.amazonaws.com/AsumaChuunin.jpg,"The Sarutobi were a well-known clan in the Fire Country. Sarutobi Sasuke was such a well-known ninja, that some families were inspired to name their children after him. Sasuke's son Hiruzen would go on to become Sandaime Hokage. Hiruzen and his wife Biwako had several children, including Asuma who also fathered a son, and another unnamed child who was the parent of Konohamaru. The clan had close ties to the Akimichi, Nara and Yamanaka clans, offering the current generation children earrings upon becoming Chuunin. The earrings signified their entrance into adulthood and readiness to accept their clan's oaths.",Sarutobi Clan
Leaf Village,Mokuton (Shodai only),https://narutoql.s3.amazonaws.com/Senju.gif,"Senju (Thousand Arms) of the Forest were one of the founding clans of Konoha. Under Senju Hashirama, they allied with other clans including the Uchiha, to found the Fire Country's ninja village. It is unknown if Senju retains a clan structure in the current Konoha. Tsunade is the only known living descendant of founding clan of Konoha.",Senju Clan
Sound Village,Musical Body Affection,https://narutoql.s3.amazonaws.com/ShiinClan.gif,"Shiin's clan was a small shinobi clan with ambitious plans in the Rice Field Country. When the young boy Menma lost his parents, the clan adopted him. There he learned the musical skills used by clan members. These tones allowed the musician to affect the minds and chakra of those who hear the melody. When Orochimaru came to the country to establish Hidden Sound, many clan members left to join the new village. As a side effect, jobs from the Rice Field Daimyou stopped coming to the clan. With the clan now on hard times, they were forced into banditry. Shiin the leader of the clan sought to attack a small mining village and take it over. Members of the clan were marked by a coiling purple band on their upper arm, which only appeared when exposed to water.",Shiin's Clan
Leaf Village,"Sharingan, Mangekyou Sharingan",https://narutoql.s3.amazonaws.com/UchihaFan.gif,"This clan from Konoha Village is known for its ability to copy Genjutsu, Taijutsu and Ninjutsu and then replicate it at will. Clan members have the ability to alter their eyes to take the form of ""Sharingan"". With their eyes in this form clan members can copy the movement of those they examine.",Uchiha Clan
Whirlpool Village,Fuuinjutsu,https://narutoql.s3.amazonaws.com/Naruto.gif,"This clan from Whirlpool Village were known for their excellent Fuuinjutsu abilities and red hair. The Uzumaki had excellent vitality and were distantly related to the Senju Clan. Their strength in Fuuinjutsu made them excellent Jinchuuriki. Other villages feared their sealing prowess and destroyed their village. Clan members were known to have left the country having settled in Konoha and Ame. Their relation to the Senju and therefore the Rikudou Sennin allowed one clan member, Nagato, to activate the Rinnegan eye ability.",Uzumaki Clan
Leaf Village,"Shintenshin no Jutsu, Shinranshin no Jutsu",https://narutoql.s3.amazonaws.com/YamanakaClan.gif,"This clan from Konoha Village is known for its ability to transmit their chakra through the air to a neaby target. This allows them to control their target's mind and body. By taking possession they can also inhabit the target's body and utilize their sensory information. The Yamanaka clan have worked along side the Akimichi and Nara clans for many generations. With each new generation, the clan member swears an oath to defend the honor of the previous generation and also raise a new generation to look after the village.",Yamanaka Clan
Cloud Village,,https://narutoql.s3.amazonaws.com/cloud-symbol.gif,"This clan hails from Kumo Village. Only one member of the clan has been seen, he was interrogated about the whereabouts of the Hachibi Jinchuuriki. On the honor of his clan, he refused to give up any information to the enemy ninja.",Yotsuki Clan
Mist Village,Makyou Hyoushou,https://narutoql.s3.amazonaws.com/HakuMirror.jpg,"The Yuki clan from Mist Village was known for its ability to manipulate water into forms of ice.
Click For Quick-Spoilers:Because of constant wars and economic strife, the people of the Mist country blamed their troubles on the actions of the ninja, directing most of their hate towards those with advanced bloodlines. Haku's father murdered his mother and attempted to kill him, it is unknown whether any other members of bloodline sharing these same abilities as Haku are still alive.",Yuki Clan